id_str,lang,location,description,full_text,user_screen_name,user_name,followers_count,normal_followers_count,fast_followers_count,favourites_count,friends_count,media_count,statuses_count,retweeted,retweet_count,favorited,favorite_count
284332744559968256,en,"Strongsville, OH",Celebrity Gossip News from Hollywood and Beyond,Did Miley Cyrus and Liam Hemsworth secretly get married? | In Case You Didn't Know http://t.co/daJAmp83,ICYDK,Celebrity Gossip World,2750,2750,0,27,119,231,51690,False,0,False,0
284335412590297089,en,"Strongsville, OH",Celebrity Gossip News from Hollywood and Beyond,Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/KwgEiKOn,ICYDK,Celebrity Gossip World,2749,2749,0,27,119,231,51690,False,0,False,0
284359918792880128,en,http://www.zoehansen.net/blog/,Bad girl @ Lori's Brothel in NYC chroniclaed TWO best selling books,Afternoon Tea – Daily Link Roundup: Did Miley Cyrus and Liam Hemsworth secretly get married? – Celebitchy Mila K... http://t.co/vuJL1TB4,mercedesny1,Mercedes,1550,1550,0,1,560,3,33224,False,0,False,0
284385385151332353,en,"Portsmouth, England",,Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/KJnBxgvk,smilersteve1,Steve,1836,1836,0,8290,1431,1478,18609,False,0,False,0
284456388833452032,en,,Shopping News! By http://t.co/GrS8CRtJKj.,"""Did Miley Cyrus and Liam Hemsworth secretly get married?"" http://t.co/2rqbmSJn",newsoshopping,News-O-Shopping,941,941,0,0,926,0,4941,False,0,False,0
284644878267318273,en,"Detroit, MI",Always live on the free @Audacy app,Did Miley Cyrus and Liam Hemsworth get secretly married?? http://t.co/9uEY6TwH,995WYCD,99.5 WYCD,22134,22134,0,8336,5466,4913,66232,False,0,False,0
284656558963564545,en,Ohio,,“@995WYCD: Did Miley Cyrus and Liam Hemsworth get secretly married?? http://t.co/K5XVQxib” does anybody care?,Gayle_Sutter,Gayle Sutter,96,96,0,288,222,189,5816,False,0,False,0
284705391965794304,en,"Bay Area, California",Content Creator • Marketing Queen • CA Realtor & Life Insurance Agent • Elite Club 💫,Did Miley Cyrus And Liam Hemsworth Secretly Get Married?!! http://t.co/JsM5H3xU,allmoniquedee,Monique Dee,6599,6599,0,7947,376,1266,36750,False,0,False,0
284705391957401601,en,Your Radio & TV,Follow Nessa @NessNitty | Listen to Nessa on HOT 97 3-7pm! MTV | Talk Stoop,Did Miley Cyrus And Liam Hemsworth Secretly Get Married?!! http://t.co/QKuOEOmU,nessaonair,Nessa On Air,4078,4078,0,179,2056,3715,20730,False,0,False,0
284762425553723392,en,"UK, US, CA, AU","The latest, hottest news from around the world's Entertainment today.","Did Miley Cyrus and Liam Hemsworth secretly get married?: 
Miley Cyrus has sparked rumours she has ma... http://t.co/LBDDvxMS -MuchMusic",celeb_newsworld,Entertainment News,375,375,0,0,1045,0,193917,False,0,False,0
284766089827721217,en,"Seattle, WA",KUBE: Seattle's #1 For Hip Hop! Listen live on 93.3 HD-2 or on the @iHeartRadio app!,Did Miley Cyrus And Liam Hemsworth Secretly Get Married?!! http://t.co/kdBycqbl,KUBE933,KUBE 93.3,14351,14351,0,2751,931,8675,42443,False,0,False,0
284769766806257664,en,Chisinau,"Inter HRS - an online booking system, through which you can book rooms at the chosen hotel in easiest and fastest way!",Did Miley Cyrus and Liam Hemsworth secretly get married?: Miley Cyrus has sparked rumours she has married Liam H... http://t.co/UimP0mBx,InterHrs,Buzdugan Andrei,1249,1249,0,0,1084,0,147020,False,0,False,0
284769769490620416,en,Worldwide,We bring you all the latiest world news. Follow for updates. Please note we have no connection with the news outlets just sharing the news. #worldnewstweet,@lukewilliamss Did Miley Cyrus and Liam Hemsworth secretly get married?: Miley Cyrus has sparked ... http://t.co/1RZ3Y8S6 #lukewilliamss,worldnewstweet_,World News,586,586,0,244,93,393,486479,False,0,False,0
1653116964804653062,en,Worldwide,We bring you all the latiest world news. Follow for updates. Please note we have no connection with the news outlets just sharing the news. #worldnewstweet,Conservative group sues Biden administration for Prince Harry's immigration papers https://t.co/NooPrISH6J,worldnewstweet_,World News,586,586,0,244,93,393,486479,False,0,False,0
284769775442337792,en,Germany Greece China,"U don’t love a woman because she is beautiful, but she´s beautiful because u love her.
°Love builds bridges where there are none.°
(^.^)/•♩♫✿",Did Miley Cyrus and Liam Hemsworth secretly get married?: Miley Cyrus has sparked rumours she has married Liam H... http://t.co/KYMcpkTS,excaliburdream,Kiki ♥ °.°.,32,32,0,51,175,21,14587,False,0,False,0
284769772980301824,en,,Working in Online Business,Did Miley Cyrus and Liam Hemsworth secretly get married?: Miley Cyrus has sparked rumours she has married Liam H... http://t.co/RyGqPTKt,khon7,khon  con,3031,3031,0,0,1698,0,28637,False,0,False,0
284769778655186944,en,#AutoFollow,#autofollow #mustfollow #instantfollow #followme #openfollow #JFB #teamautofollow #teamfollowback #1000aday #500aday huhuhuhuyy,Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/RKT7s8kZ,follow_plis,Reza AutoFollow,1935,1935,0,2,1017,1,22423,False,0,False,0
284769777073917952,en,Bekasi-Bandung ,Mahasiswa,Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/XYsL1qtG,diwajibkan,Someone,649,649,0,0,35,1,22934,False,0,False,0
284771913753042944,en,USA,SAHM/blogger;tweet abt politics to parenting&everything in btwn(feed) #prolife #vaxed🚫#COVID19 mandates #news Contribute/Subscribe https://t.co/pNW32dq3V0,#tcot #news #variety Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/vnRyCL9Y,littlebytesnews,Patty 🌻🇺🇸🌵,20356,20356,0,1403086,13548,35631,1286050,False,0,False,0
284902943201837056,en,,Inspiring tips and ideas from around the web for creating a memorable wedding day. Watch those prenup jitters just dance themselves away.,Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/hIw9RG6m #wedding,TheWeddingTrap,The Wedding Trap,989,989,0,0,527,0,22854,False,0,False,0
284918939975303169,en,Malawi,Lives in Zomba( MALAWI). a blogger and a family man. A Technician Engineer (Electrical). INSTAGRAM- rudolfjoemunthali. LINKEDIN - rudolfjoemunthali,Album 6 « Gallery 868 « Did Miley Cyrus and Liam Hemsworth secretly get married? http://t.co/69NNoGyj via @muchmusic,rudolfmunthali,Rudolf Joe Munthali,15276,15276,0,2043,15257,181,12407,False,0,False,0
285592266716884993,en,,,Did Miley Cyrus Secretly Get Married To Liam Hemsworth? (Photos): There are rumors swirling that Miley Cyrus and... http://t.co/AzA1WOnL,tammi09j,Tammi Johnson,549,549,0,0,749,4,34584,False,0,False,0
285635421872979969,en,,,Did Miley Cyrus Secretly Get Married To Liam Hemsworth? (Photos): There are rumors swirling that Miley Cyrus and... http://t.co/dsbnvn7e,justamileyfan,just a miley fan,300,300,0,0,0,494,47274,False,0,False,0
285635516924301313,en,"Seattle, WA",,Did Miley Cyrus Secretly Get Married To Liam Hemsworth? (Photos): There are rumors swirling that Miley Cyrus and... http://t.co/9dkwU03L,OverdraftFree,Krissy Thompson,105,105,0,3,46,7,9033,False,0,False,0
285731324101287937,en,"Belfast, N.Ireland","An Enigmatic Blogger, always finding new adventures on making money so I can retire before I turn 30 to a small cottage in South of England so I can rear geese.",Did Miley Cyrus Secretly Get Married To Liam Hemsworth? (Photos): There are rumors swirling that Miley Cyrus and... http://t.co/cMSLHDc0,tweettheoracle,The Oracle,3847,3847,0,0,4575,225,429721,False,0,False,0
295954533555793920,en,"LA, NY, MIA, EVERYWHERE ✈","emcBlue represents Pop Culture, Fashion, Music, Life. What you want to read about, we got it!","Woah, what? Did Miley Cyrus And Liam Hemsworth Secretly Get Married? http://t.co/6AavQWX6",emcBlue,emcBlue,109,109,0,18,945,7,1711,False,1,False,0
296639632710459392,en,Everywhere!!!,"Marketing and Promotion for Mixtapes,Singles,and Video Submissions  
SubmitTMK@gmail.com For other inquires TheMixtapeKids@gmail.com","#TMK Miley Cyrus and Liam Hemsworth Secretly Married?: 
Ummmm… Did Miley Cyrus get married? The singe... http://t.co/tAF0RodI #Missxpose",TheMixtapeKids,TheMixtapeKids,9229,9229,0,392,5331,883,90491,False,0,False,0
296651276626825216,en,"ÜT: 26.18037,-80.104492",Celebrity Gossip Xposed,"Miley Cyrus and Liam Hemsworth Secretly Married?: 
Ummmm… Did Miley Cyrus get married? The singer/ actress may h... http://t.co/MQlB4ZUS",missxpose,missxpose,1052,1052,0,180,943,164,30667,False,0,False,0
700137152143699968,en,Australia,Bringing you the best music every Saturday morning 9 till 11.30 on @10PeachAU with @Scott_Tweedie and @livphyland Tweets by The Loop Social Media crew.,"UM, did @MileyCyrus and @LiamHemsworth just secretly get married? https://t.co/j2KeQ3uIec https://t.co/Qwtjo76pkU",TheLoopAu,The Loop,16202,16202,0,2895,738,4441,14909,False,2,False,5
700998325269458944,en,Australia,FWMIFYU,@loopeleven @MileyCyrus @LiamHemsworth yes from what I noticed in NSW,KittelRhonda,rhonda jackson,10,10,0,83,62,0,79,False,0,False,0
700501642412560384,en,,"Real people. Real stories. A safe space for Gen Z & Millennials to share their experiences.

Make your mess, your message.","Wait, Did Miley Cyrus And Liam Hemsworth Secretly Get Married? By @emilysberns https://t.co/oQ0iCU3AQ9",ReadUnwritten,Unwritten,1209,1209,0,2675,1251,4931,18888,False,0,False,1
700599457767890944,en,,"Spilling current news on entertainment, sports, politics, technology, health, celebrities & other funny & weird stuff in Nigeria & all over the world",Did Miley Cyrus and Liam Hemsworth get married secretly? https://t.co/lcFveaVoCM,spillednews,Spilled News,377,377,0,3,1271,628,28165,False,0,False,0
700925213031141376,en,galatians 3:28,"Entertainment, events, fashion and pop culture American Idol Contestant 📍Boston","2 things
1)my video is going to have to come out tomorrow.
2)did Miley Cyrus and Liam Hemsworth get secretly married?",Seanlofficial,SΞAN,14106,14106,0,28175,6653,5362,20809,False,3,False,8
1652693362523136006,zxx,galatians 3:28,"Entertainment, events, fashion and pop culture American Idol Contestant 📍Boston",https://t.co/WwLw8fxMl3,Seanlofficial,SΞAN,14106,14106,0,28175,6653,5362,20809,False,2,False,11
757598980373045248,en,"Lagos, Nigeria","Get all the latest Africa, Nigeria, America, Europe celebrity news, gossip and gist today.",Did Miley Cyrus And Liam Hemsworth Secretly Get Married? - https://t.co/CtO4EJQlql https://t.co/EtxdWNBnYK,aprokocity,aprokocity,306,306,0,0,179,3622,7726,False,0,False,0
757614017808437248,en,New Orleans,,Did @MileyCyrus and @LiamHemsworth secretly get married: https://t.co/xKCvjETSw4 https://t.co/CQNcxiTtYd,CELEBUZZ,CELEBUZZ,753183,753183,0,10224,4777,22266,108208,False,3,False,9
757810204448743425,en,New Orleans,,Did @MileyCyrus and @LiamHemsworth secretly get married: https://t.co/xKCvjETSw4,CELEBUZZ,CELEBUZZ,753183,753183,0,10224,4777,22266,108208,False,7,False,15
757855454886293504,en,,,Did @MileyCyrus and @LiamHemsworth secretly get married: https://t.co/b7LytsHAiv https://t.co/x7mXllcMTz,StarsuSternchen,Stars und Sternchen,140,140,0,4,164,1272,20123,False,0,False,0
818454872299163649,en,"Manila, Philippines",Breaking news and stories from different sides. RTs from our journalists. Unparalleled journalism in the Philippines since 1900. #BeFullyInformed,Did Miley Cyrus and Liam Hemsworth secretly get married? - Read: https://t.co/mhvog6TPVn #BeFullyInformed,manilabulletin,Manila Bulletin News,1114240,1114240,0,2388,217,185073,799201,False,0,False,2
1653112047914057729,en,"Manila, Philippines",Breaking news and stories from different sides. RTs from our journalists. Unparalleled journalism in the Philippines since 1900. #BeFullyInformed,"The Zamboanga City government held the Fiesta na Isla de Santa Cruz, a summer festival activity under the Zamboanga Verano Festival, on Saturday, April 29.
#ManilaBulletin 
https://t.co/299kzRwdc7",manilabulletin,Manila Bulletin News,1114240,1114240,0,2388,217,185073,799201,False,0,False,0
818532208990371841,en,Manila,Manila News - that's what you get from us. From A - Z,Did Miley Cyrus and Liam Hemsworth secretly get married? – Manila Bulletin https://t.co/wJC4TyVW8D https://t.co/pF4onvtFNu,manilainformer,Manila Informer,1754,1754,0,0,476,162770,268563,False,0,False,0
818622382524997632,en,"Manila, Philippines",Breaking news and stories from different sides. RTs from our journalists. Unparalleled journalism in the Philippines since 1900. #BeFullyInformed,Did Miley Cyrus and Liam Hemsworth secretly get married? - Read:   https://t.co/mhvog7brjX  #BeFullyInformed,manilabulletin,Manila Bulletin News,1114240,1114240,0,2388,217,185073,799201,False,1,False,4
